siteID,headerID,leisureCentre,addressLine1,addressLine2,addressLine3,poscode,Latitude,Longitude,telephone,email,website,mondayOpen,mondayClosed,tuesdayOpen,tuesdayClosed,wednesdayOpen,wednesdayClosed,thursdayOpen,thursdayClosed,fridayOpen,fridayClosed,saturdayOpen,saturdayClosed,sundayOpen,sundayClosed,accessibilityChangingAndShowerFacilities,adaptedChangingRoomAndToilet,adaptedToilet,adultSocialCareAndDisabilityServices,automaticDoor,disabledToilet,handrailsOnStairsAndSpectatorAreas,inductionLoop,levelEntrance,liftAccess,poolHoist,rampedAccess,tennisWheelchairs,archery,astroTurfPitch,badmintonCentre,bellBoat,boatHire,bowlsHall,cafeBar,canoeing,climbing,climbingWall,footballPitch,freeParking,gym,hydrotherapyPool,indoorTrackAndField,kayaking,meetingRoom,offRoadBiking,orienteering,outDoorTrackAndField,powerboat,Sailing,sportsHall,squashCourts,studio,swimmingPool,tennisCourts,wiFi,windsurfing
20,33,Aireborough leisure centre,The Green,Guiseley,Leeds,LS20 9BT,,,01133781230,aireborough.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/AireboroughLeisureCentre.aspx,07:00,22:30,07:00,22:00,07:00,22:30,07:00,21:45,07:00,21:30,08:00,19:00,08:00,21:30,1,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,1,,1,,1,
22,34,Armley leisure centre,Carr Crofts,Armley,Leeds,LS12 3HB,,,01133367880,armley.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/ArmleyLeisureCentre.aspx,07:15,22:30,07:15,22:30,07:15,22:30,07:15,22:30,07:15,22:30,08:00,18:30,08:00,21:30,,,,,1,,,1,1,1,1,,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,1,1,,1,
,,Chippendale pool,Prince Henrys Grammer School,Otley,Leeds,LS21 2BB,,,01943466852,Chippindale.Pool@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/ChippindalePool.aspx,16:00,21:00,07:00,20:00,16:00,21:00,16:00,21:00,07:00,20:30,07:45,12:00,09:00,16:00,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
26,35,Fearnville leisure centre,Oakwood Lane,,Leeds,LS8 3LF,,,01133781260,fearnville.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/FearnvilleLeisureCentre.aspx,08:00,21:00,07:30,21:00,07:30,21:00,08:00,21:00,08:00,21:00,08:30,18:00,08:30,17:00,,1,,,1,1,,1,,,1,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,1,,1,1,1,
28,36,Garforth leisure centre,Ninelands Lane,Garforth,Leeds,LS25 1NX,,,01133781312,garforth.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/GarforthLeisureCentre.aspx,08:30,22:00,16:00,22:00,08:30,22:00,16:00,22:00,08:30,22:00,09:00,13:00,10:00,14:00,,,1,,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,1,
29,37,Holt park active,Holtdale Approach,,Leeds,LS16 7RX,,,01133781301,holtpark.active@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/HoltParkActive.aspx,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,08:00,18:00,08:00,20:00,1,,,1,1,1,,,,1,1,,,,,,,,,1,,,,,,1,1,,,,,,,,,1,,1,1,,1,
10,47,John Charles centre for sport,Middleton Grove,,Leeds,LS11 5DJ,,,01133788000,jccs@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/JohnCharlesCentreforSport.aspx,07:15,22:00,07:15,22:00,07:15,22:00,07:15,22:00,07:15,22:00,08:00,18:00,08:00,16:00,1,,,,1,,,1,,1,1,,1,,1,,,,1,1,,,,,,1,,1,,1,,,1,,,,,,1,,1,
31,38,John Smeaton leisure centre,Smeaton Approach off Barwich Road,,Leeds,LS15 8TA,,,01133782280,johnsmeaton.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/JohnSmeatonLeisureCentre.aspx,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,21:00,08:00,18:00,08:00,19:00,1,1,1,,1,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,
33,39,Kippax leisure centre,Station Road,Kippax,Leeds,LS25 7LQ,,,01133781275,kippax.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/KippaxLeisureCentre.aspx,09:45,20:30,08:00,22:15,08:00,22:15,09:00,22:00,09:00,21:00,08:00,15:30,09:00,14:30,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,
34,49,Kirkstall leisure centre,Kirkstall Lane,Kirkstall,Leeds,LS5 3BE,,,01133782086,kirkstall.lc@leeds.gov.uk,http://active.leeds.gov.uk/findacentre/pages/KirkstallLeisureCentre.aspx,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,07:00,22:30,08:00,17:00,09:00,17:00,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,
